qid,label
Q1983634,Odia people
Q19840821,Singaporeans
Q1984412,Ngāti Maniapoto
Q1984414,Ngāti Porou
Q1984427,Ngāti Raukawa
Q1984446,Ngāti Toa
Q19860,Indo-European
Q19869424,Aruban Americans
Q19875967,Muthi Muthi
Q19894851,Eastern Morocco Zenati
Q19898566,Tamil New Zealander
Q1990195,Italians of Romania
Q19903733,Cape Verdeans
Q1990676,Gabriel Corrado
Q1990745,Tuscan
Q1991779,Southern Altai
Q19921578,Moba
Q19927274,Melanesian Pidgin
Q19929702,Ukrainian Russian
Q1993509,Nisga’a people
Q1996477,Noongar people
Q1996554,Kashmiri Pandits
Q1997693,Northern Bohemian
Q1998595,Batak
Q20010146,Romani people in Abruzzo
Q200263,Parsi
Q2005,جافا سكريبت
Q20050777,Yemenite Jews in Israel
Q200569,Dutch
Q20063795,Hong Kong written Chinese
Q2006701,Northern Cheyenne Tribe
Q200885,Yazidis
Q2010089,Upper Lusatian dialect
Q201028,Khmer people
Q201111,Aromanians
Q201190,Palestinians
Q20122763,British Japanese
Q201501,Baloch
Q2016252,Middle Chinese
